animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Messor_hismai,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_intermedius,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_medioruber,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_meridionalis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_minor,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,"Holldobler&Wilson, 1990",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_rugosus,Formicidae,Myrmicinae,Pheidolini,Messor,ant,1,"Retana & Cerda, 1994; Steinberger et al., 1991",2500,"Steinberger et al., 1991",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_sanctus,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,,3500,"Beckers et al., 1989",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_sp.,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,"Holldobler&Wilson, 1990",12700,"Saar et al., 2018",NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Messor_structor,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,"Holldobler&Wilson, 1990",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_wasmanni,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,"Holldobler&Wilson, 1990",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Metapolybia_aztecoides,Vespidae,Polistinae,Epiponini,Epipona,wasp,1,"West-Eberhard, 1978",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Metapone_madagascarica,Formicidae,Myrmicinae,Crematogastrini,Metapone,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Metapone_vincimus,Formicidae,Myrmicinae,Crematogastrini,Metapone,ant,NA,NA,20,"Burchill & Moreau, 2016 - (citing Alpert, 2007)",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
